order_id,customer_id,product_id,quantity,order_date
1,3578,1895,2,2022-12-11
2,4683,1272,3,2022-02-08
3,562,637,4,2021-11-05
4,1011,273,3,2022-01-06
5,3257,1086,2,2022-02-12
6,2172,65,2,2021-12-10
7,440,1613,1,2022-05-31
8,1565,289,3,2021-08-10
9,321,581,2,2022-05-09
10,2233,1986,4,2022-10-05
11,4735,215,4,2022-07-23
12,4269,784,3,2021-04-15
13,3090,1996,3,2022-02-27
14,4965,1172,1,2021-08-01
15,84,806,2,2022-02-28
16,2748,657,2,2021-10-11
17,1155,634,3,2021-05-10
18,1413,123,1,2022-08-26
19,3400,719,2,2021-12-05
20,4721,1628,3,2022-01-25
21,1853,1694,2,2021-06-17
22,25,1239,1,2021-03-05
23,3584,1852,4,2023-03-02
24,2827,981,2,2021-04-23
25,1638,655,4,2023-02-11
26,99,380,2,2023-07-29
27,4860,1319,2,2023-02-27
28,3363,631,3,2021-11-26
29,3101,181,4,2023-01-14
30,1728,1534,3,2022-10-18
31,1749,706,3,2022-10-06
32,3019,433,4,2021-01-28
33,3637,1386,3,2021-08-15
34,4813,1370,4,2022-06-14
35,2421,865,2,2021-07-25
36,3703,1799,1,2023-06-17
37,2006,1219,3,2022-10-21
38,667,423,4,2022-04-11
39,1893,1732,3,2022-02-20
40,3984,1185,1,2021-10-14
41,2043,1391,3,2021-08-16
42,1454,789,4,2022-01-08
43,3041,559,3,2021-12-14
44,2346,1196,4,2021-02-22
45,1021,405,1,2021-06-18
46,1186,475,4,2022-11-14
47,1772,1560,1,2021-09-13
48,266,962,1,2022-08-10
49,1879,915,2,2023-06-04
50,3315,789,3,2021-12-25
51,931,1509,4,2023-02-25
52,4631,461,2,2022-07-01
53,4680,1561,2,2021-10-23
54,2703,945,2,2022-03-01
55,1103,52,2,2022-04-24
56,846,372,2,2022-05-24
57,38,420,1,2023-01-07
58,55,392,4,2023-02-10
59,1488,1990,4,2023-01-02
60,3903,22,1,2021-05-30
61,3621,1874,4,2023-06-27
62,1174,176,4,2022-07-19
63,1692,1844,1,2022-05-25
64,415,152,1,2022-05-12
65,2398,1215,2,2021-07-27
66,724,1465,2,2022-08-25
67,1892,1869,4,2023-03-13
68,668,1250,3,2022-10-17
69,1709,1549,1,2021-09-07
70,3413,1821,1,2021-12-18
71,523,417,4,2022-09-23
72,1945,241,3,2022-08-23
73,336,358,2,2022-10-05
74,4032,1215,4,2022-02-20
75,398,1106,4,2023-02-01
76,1674,261,1,2023-01-06
77,703,1427,1,2022-01-12
78,3929,415,4,2021-01-20
79,919,1048,3,2021-03-20
80,3962,1833,1,2021-03-10
81,2679,85,3,2023-09-14
82,4531,683,1,2021-11-13
83,4326,186,1,2023-04-27
84,2587,1194,1,2022-03-11
85,2980,1787,3,2022-08-02
86,2772,788,1,2021-08-24
87,473,865,4,2022-01-11
88,2493,299,1,2023-09-06
89,219,1670,2,2022-07-06
90,1154,1797,1,2021-11-23
91,3400,1877,2,2021-07-14
92,3460,1479,1,2022-01-13
93,3909,784,1,2021-02-26
94,3303,1215,4,2021-03-09
95,4272,851,4,2022-04-08
96,3407,1372,1,2023-08-01
97,3938,290,1,2021-01-06
98,2641,1092,3,2023-08-29
99,587,469,2,2021-03-19
100,200,1521,2,2021-01-09
101,2728,1881,4,2022-08-30
102,1613,1454,4,2023-08-20
103,1468,1134,2,2022-04-15
104,4228,1964,4,2022-07-28
105,3539,309,1,2021-07-19
106,4970,1925,3,2023-03-10
107,3071,1955,1,2021-08-21
108,2377,1126,2,2023-04-14
109,3510,6,4,2023-06-28
110,4554,127,1,2021-12-04
111,3824,1852,2,2021-10-27
112,239,1581,3,2023-02-02
113,416,1799,4,2022-08-14
114,3991,336,2,2022-07-25
115,2330,1875,1,2023-03-20
116,1556,1876,2,2022-03-27
117,2726,90,1,2023-08-02
118,3172,1271,2,2023-08-15
119,3149,196,4,2023-05-29
120,3218,555,3,2021-08-29
121,3097,867,2,2023-07-29
122,548,684,3,2021-01-05
